Date,Open ,High ,Low ,Close,Shares Traded ,Turnover (â‚¹ Cr)
02-Jan-23,18131.7,18215.15,18086.5,18197.45,256073979,11793.06
03-Jan-23,18163.2,18251.95,18149.8,18232.55,208699772,13680.91
04-Jan-23,18230.65,18243,18020.6,18042.95,235162202,16687.71
05-Jan-23,18101.95,18120.3,17892.6,17992.15,269949738,22108.53
06-Jan-23,18008.05,18047.4,17795.55,17859.45,238220578,17495.25
09-Jan-23,17952.55,18141.4,17936.15,18101.2,257237669,19916.16
10-Jan-23,18121.3,18127.6,17856,17914.15,283277918,20570.3
11-Jan-23,17924.25,17976.35,17824.35,17895.7,259853294,20204.33
12-Jan-23,17920.85,17945.8,17761.65,17858.2,227769060,19762.43
13-Jan-23,17867.5,17999.35,17774.25,17956.6,256700729,21341.7
16-Jan-23,18033.15,18049.65,17853.65,17894.85,206195816,16728.37
17-Jan-23,17922.8,18072.05,17886.95,18053.3,219055125,17461.09
18-Jan-23,18074.3,18183.75,18032.45,18165.35,255840928,20500.07
19-Jan-23,18119.8,18155.2,18063.75,18107.85,237833991,18413.13
20-Jan-23,18115.6,18145.45,18016.2,18027.65,237225269,19519.96
23-Jan-23,18118.45,18162.6,18063.45,18118.55,202460434,17060.12
24-Jan-23,18183.95,18201.25,18078.65,18118.3,216910302,19705.91
25-Jan-23,18093.35,18100.6,17846.15,17891.95,257227052,20890.56
27-Jan-23,17877.2,17884.75,17493.55,17604.35,476342611,40104.83
30-Jan-23,17541.95,17709.15,17405.55,17648.95,432434028,38159.88
31-Jan-23,17731.45,17735.7,17537.55,17662.15,398338541,35023.7
01-Feb-23,17811.6,17972.2,17353.4,17616.3,512870802,38486.19
02-Feb-23,17517.1,17653.9,17445.95,17610.4,490113567,37639.96
03-Feb-23,17721.75,17870.3,17584.2,17854.05,424123037,34503.67
06-Feb-23,17818.55,17823.7,17698.35,17764.6,282544790,21864.88
07-Feb-23,17790.1,17811.15,17652.55,17721.5,354395693,23611.08
08-Feb-23,17750.3,17898.7,17744.15,17871.7,290994265,23733.4
09-Feb-23,17885.5,17916.9,17779.8,17893.45,260854055,21529.97
10-Feb-23,17847.55,17876.95,17801,17856.5,231991834,17063.99
13-Feb-23,17859.1,17880.7,17719.75,17770.9,231276483,17406.31
14-Feb-23,17840.35,17954.55,17800.05,17929.85,244512944,20579.8
15-Feb-23,17896.6,18034.1,17853.8,18015.85,229273800,21457.34
16-Feb-23,18094.75,18134.75,18000.65,18035.85,230246175,18891.55
17-Feb-23,17974.85,18034.25,17884.6,17944.2,208053929,16998.33
20-Feb-23,17965.55,18004.35,17818.4,17844.6,174563233,14729.07
21-Feb-23,17905.8,17924.9,17800.3,17826.7,198248205,15593.09
22-Feb-23,17755.35,17772.5,17529.45,17554.3,204021979,17162.09
23-Feb-23,17574.65,17620.05,17455.4,17511.25,240807918,19313.68
24-Feb-23,17591.35,17599.75,17421.8,17465.8,209406363,16100.18
27-Feb-23,17428.6,17451.6,17299,17392.7,246448847,16638.41
28-Feb-23,17383.25,17440.45,17255.2,17303.95,420881259,32959.77
01-Mar-23,17360.1,17467.75,17345.25,17450.9,272881409,19784.53
02-Mar-23,17421.5,17445.8,17306,17321.9,310669094,22068.68
03-Mar-23,17451.25,17644.75,17427.7,17594.35,356169518,24143.96
06-Mar-23,17680.35,17799.95,17671.95,17711.45,362801096,26959.41
08-Mar-23,17665.75,17766.5,17602.25,17754.4,267041402,23155.56
09-Mar-23,17772.05,17772.35,17573.6,17589.6,262352056,21964.17
10-Mar-23,17443.8,17451.5,17324.35,17412.9,235927570,19794.73
13-Mar-23,17421.9,17529.9,17113.45,17154.3,254914657,22860.67
14-Mar-23,17160.55,17224.65,16987.1,17043.3,290604200,26057.6
15-Mar-23,17166.45,17211.35,16938.9,16972.15,248188970,22659.09
16-Mar-23,16994.65,17062.45,16850.15,16985.6,349820607,24198.71
17-Mar-23,17111.8,17145.8,16958.15,17100.05,408121255,30478.42
20-Mar-23,17066.6,17066.6,16828.35,16988.4,241777405,21454.09
21-Mar-23,17060.4,17127.7,17016,17107.5,246737873,22039.11
22-Mar-23,17177.45,17207.25,17107.85,17151.9,185700457,15712
23-Mar-23,17097.4,17205.4,17045.3,17076.9,219171517,19676.97
24-Mar-23,17076.2,17109.45,16917.35,16945.05,228038299,19019.88
27-Mar-23,16984.3,17091,16918.55,16985.7,218418670,18466.56
28-Mar-23,17031.75,17061.75,16913.75,16951.7,238840919,20942.5
29-Mar-23,16977.3,17126.15,16940.6,17080.7,345911087,27261.74
31-Mar-23,17210.35,17381.6,17204.65,17359.75,263889033,24970.98
03-Apr-23,17427.95,17428.05,17312.75,17398.05,230170687,20359.58
05-Apr-23,17422.3,17570.55,17402.7,17557.05,248345193,23911.75
06-Apr-23,17533.85,17638.7,17502.85,17599.15,242708337,23543.21
10-Apr-23,17634.9,17694.1,17597.95,17624.05,254819382,21092.06
11-Apr-23,17704.8,17748.75,17655.15,17722.3,304263454,25841.64
12-Apr-23,17759.55,17825.75,17717.25,17812.4,232816318,22851.93
13-Apr-23,17807.3,17842.15,17729.65,17828,285764798,26460.2
17-Apr-23,17863,17863,17574.05,17706.85,357401212,35118.57
18-Apr-23,17766.6,17766.6,17610.2,17660.15,258856690,23032.99
19-Apr-23,17653.35,17666.15,17579.85,17618.75,281463379,21562.08
20-Apr-23,17638.6,17684.45,17584.35,17624.45,215103396,19457.45
21-Apr-23,17639.75,17663.2,17553.95,17624.05,230156645,19091.44
24-Apr-23,17707.55,17754.5,17612.5,17743.4,255740393,23142.94
25-Apr-23,17761.55,17807.45,17716.85,17769.25,297445999,28819.53
26-Apr-23,17767.3,17827.75,17711.2,17813.6,233008677,21295.14
27-Apr-23,17813.1,17931.6,17797.9,17915.05,241434660,24454.15
28-Apr-23,17950.4,18089.15,17885.3,18065,290263674,27026.12
02-May-23,18124.8,18180.25,18101.75,18147.65,265216308,23615.47
03-May-23,18113.8,18116.35,18042.4,18089.85,226171254,19079.79
04-May-23,18081,18267.45,18066.7,18255.8,226643581,21889.48
05-May-23,18117.3,18216.95,18055.45,18069,239702311,26152.88
08-May-23,18120.6,18286.95,18100.3,18264.4,228399379,22687.94
09-May-23,18303.4,18344.2,18229.65,18265.95,245368649,23478.06
10-May-23,18313.6,18326.75,18211.95,18315.1,220450874,21416.41
11-May-23,18357.8,18389.7,18270.4,18297,248932544,26440.1
12-May-23,18273.75,18342.75,18194.55,18314.8,241702589,22046.04
15-May-23,18339.3,18458.9,18287.9,18398.85,216088535,19329.75
16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78
17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12
18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44
19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67
22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58
23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15
24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17
25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41
26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08
29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57
30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69
31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08
01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99
02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88
05-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16
06-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47
07-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77
08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3
09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42
12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04
13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62
14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08
15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77
16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67
19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84
20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08
21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48
22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87
23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6
26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14
27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89
28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94
30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62
03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54
04-Jul-23,19406.6,19434.15,19300,19389,226916635,26634.06
05-Jul-23,19405.95,19421.6,19339.6,19398.5,224418797,24699.24
06-Jul-23,19385.7,19512.2,19373,19497.3,268261285,28540.18
07-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566,23089.25
10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132,25991.55
11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638,26883.78
12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559,40163.14
13-Jul-23,19495.2,19567,19385.8,19413.75,310442517,27244.56
14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841,25484.44
17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894,25975.57
18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897,33269.08
19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464,26447.9
20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867,30622.66
21-Jul-23,19800.45,19887.4,19700,19745,,
24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151,24522.29
25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496,29665.67
26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425,23023.86
27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351,35019.13
28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382,22995.98
31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318,23075.38
01-Aug-23,19784,19795.6,19704.6,19733.55,298048161,24554.71
02-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798,23997.47
03-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612,29899.38
04-Aug-23,19462.8,19538.85,19436.45,19517,280799561,28086.15
07-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074,21655.87
08-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052,25437.47
09-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074,23201.75
10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785,29430.34
11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048,24521.24
